,ORGANISATION_NAME,REGISTRATION_NO,ORGANISATION_TYPE_CODE,ORGANISATION_TYPE,ORGANISATION_STATUS,address_entity_key,address_seq_no,Full_Address,lat_lng,latitude,longitude
0,C.J. CACOYIANNIS,28,B,Εμπορική Επωνυμία,Εγγεγραμμένη,22950,22950, ΠΑΦΟΣ ,"Row(_1=34.77539489999999, _2=32.4217786)",34.77539489999999,32.4217786
1,JEAN NICOLAIDES,30,N,Συνεταιρισμός (BN),Εγγεγραμμένη,22950,22950, ΠΑΦΟΣ ,"Row(_1=34.77539489999999, _2=32.4217786)",34.77539489999999,32.4217786
2,BRITISH TRADING AGENCY,52,B,Εμπορική Επωνυμία,Εγγεγραμμένη,17104,17104, 1683 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1855659, _2=33.38227639999999)",35.1855659,33.38227639999999
3,JOANNIS KONTOPOULOS,59,N,Συνεταιρισμός (BN),Εγγεγραμμένη,29262,29262, ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
4,THE CYPRUS PHILATELIC AGENCY,67,B,Εμπορική Επωνυμία,Εγγεγραμμένη,6674,6674, 6502 ΛΑΡΝΑΚΑ ,"Row(_1=34.9182222, _2=33.6200625)",34.9182222,33.6200625
5,P.M. JACOVIDES,85,B,Εμπορική Επωνυμία,Εγγεγραμμένη,29262,29262, ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
6,THE CYPRUS COAL CO.,102,B,Εμπορική Επωνυμία,Εγγεγραμμένη,29262,29262, ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
7,J.G. MORPHITIS & CO.,116,B,Εμπορική Επωνυμία,Εγγεγραμμένη,17104,17104, 1683 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1855659, _2=33.38227639999999)",35.1855659,33.38227639999999
8,KYRIAKIDES ENGINEERING SERVICE,119,B,Εμπορική Επωνυμία,Εγγεγραμμένη,29262,29262, ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
9,PAVILLION DE SAITTA,119,N,Συνεταιρισμός (BN),Εγγεγραμμένη,19873,19873, ΣΑΪΤΤΑΣ ΛΕΜΕΣΟΣ ,"Row(_1=34.8651648, _2=32.9131288)",34.8651648,32.9131288
10,PHOTO-ATHINAIKON,138,B,Εμπορική Επωνυμία,Εγγεγραμμένη,17104,17104, 1683 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1855659, _2=33.38227639999999)",35.1855659,33.38227639999999
11,N.P. LANITIS LIMITED,139,C,Εταιρεία,Εγγεγραμμένη,6728,6728,ΑΡΧ. ΚΥΠΡΙΑΝΟΥ 21  3036 ΛΕΜΕΣΟΣ ,"Row(_1=34.6745318, _2=33.0430453)",34.6745318,33.0430453
12,BANK OF CYPRUS PUBLIC COMPANY LIMITED,165,C,Εταιρεία,Εγγεγραμμένη,2594,2594,ΣΤΑΣΙΝΟΥ 51  ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΣΤΡΟΒΟΛΟΣ 2002 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1491262, _2=33.3175412)",35.1491262,33.3175412
13,NICOLAS CHR. TALIADOROS & SON,168,B,Εμπορική Επωνυμία,Εγγεγραμμένη,20800,20800, ΚΑΛΟΠΑΝΑΓΙΩΤΗΣ ΛΕΥΚΩΣΙΑ ,"Row(_1=34.9916085, _2=32.8282406)",34.9916085,32.8282406
14,CYBARCO CONTRACTING LIMITED,196,C,Εταιρεία,Εγγεγραμμένη,29240,29240,ΓΕΩΡΓΙΟΥ ΓΕΝΝΑΔΙΟΥ 10  3041 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
15,A.G.F ΚΟΣΜΟΣ ΓΕΝΙΚΑΙ ΑΣΦΑΛΕΙΑΙ,198,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,11329,11329,ΑΓΙΑΣ ΕΛΕΝΗΣ 6  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.167884, _2=33.362822)",35.167884,33.362822
16,BRITISH - AMERICAN INSURANCE CO. LIMITED,242,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,8193,8193,ΚΡΗΤΗΣ 2  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1681853, _2=33.3654403)",35.1681853,33.3654403
17,PAPASTYLIANOU BROTHERS,250,P,Συνεταιρισμός,Εγγεγραμμένη,18672,18672, ΣΤΡΟΥΜΠΙ ΠΑΦΟΣ ,"Row(_1=34.8839902, _2=32.4825424)",34.8839902,32.4825424
18,DORITES MACARONI FACTORY LIMITED,259,C,Εταιρεία,Εγγεγραμμένη,24090,24090,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 230  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
19,THE ENGINEERING AND COMMERCIAL ASSOCIATION LIMITED,266,C,Εταιρεία,Εγγεγραμμένη,7042,7042,ΕΛΕΥΘΕΡΙΑΣ 109  ΛΕΜΕΣΟΣ ,"Row(_1=34.674291, _2=33.0389571)",34.674291,33.0389571
20,G PARASKEVAIDES LIMITED,274,C,Εταιρεία,Εγγεγραμμένη,11990,11990,ΛΑΜΠΟΥΣΑΣ 1  1095 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.120366, _2=33.3795155)",35.120366,33.3795155
21,ARGYRIOU BROS.,285,P,Συνεταιρισμός,Εγγεγραμμένη,1937,1937, ΠΟΛΗ ΧΡΥΣΟΧΟΥΣ 8830 ΠΑΦΟΣ ,"Row(_1=35.0339441, _2=32.4253751)",35.0339441,32.4253751
22,CIGNA INSURANCE COMPANY OF EUROPE S.A.-N.V.,306,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,6477,6477,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 6  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1676704, _2=33.3578541)",35.1676704,33.3578541
23,L'UNION DES ASSURANCES  DE PARIS I.A.R.D.,318,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,348,348,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
24,CYPRUS ESTATES LIMITED,366,C,Εταιρεία,Εγγεγραμμένη,20386,20386,ΙΦΙΓΕΝΕΙΑΣ 9  ΛΕΜΕΣΟΣ ,"Row(_1=34.6752733, _2=33.0449158)",34.6752733,33.0449158
25,LIBYAN ARAB AIRLINES CORPORATION,393,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,19122,19122,ΜΥΚΗΝΩΝ 12  1065 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1638228, _2=33.361305)",35.1638228,33.361305
26,A.B.C.  LIMITED,400,C,Εταιρεία,Εγγεγραμμένη,8477,8477,ΓΛΑΔΣΤΩΝΟΣ 25  1095 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.16783059999999, _2=33.351667)",35.16783059999999,33.351667
27,AMERICAN BUREAU OF SHIPPING,418,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,257,257,ΔΙΑΓΟΡΟΥ 4  1097 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1698311, _2=33.3570624)",35.1698311,33.3570624
28,SPLENDID HOTEL LIMITED,444,C,Εταιρεία,Εγγεγραμμένη,29923,29923,ΧΡΙΣΤΟΔΟΥΛΟΥ ΧΑΤΖΗΠΑΥΛΟΥ 199  3036 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
29,MEDITERRANEAN DISTRIBUTORS,449,B,Εμπορική Επωνυμία,Εγγεγραμμένη,1759,1759,ΔΙΑΓΟΡΟΥ 2  1097 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.17015689999999, _2=33.3569235)",35.17015689999999,33.3569235
30,ADRIA AIRWAYS,452,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,176,176,ΒΥΡΩΝΟΣ 36  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1711195, _2=33.3810486)",35.1711195,33.3810486
31,Σ. ΜΙΧΑΗΛΙΔΗΣ Α.Ε. ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΟΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,464,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,94,94,ΚΩΣΤΑΚΗ ΠΑΝΤΕΛΙΔΗ 1  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1700454, _2=33.3606766)",35.1700454,33.3606766
32,FAMAGUSTA CITRUS WASTE CONTROL COMPANY LIMITED,476,C,Εταιρεία,Εγγεγραμμένη,7606,7606,ΚΙΛΚΙΣ 1  6015 ΛΑΡΝΑΚΑ ,"Row(_1=34.9209651, _2=33.6340551)",34.9209651,33.6340551
33,DICKRAN OUZOUNIAN AND COMPANY LIMITED,484,C,Εταιρεία,Εγγεγραμμένη,22256,22256,ΜΑΡΚΟΥ ΔΡΑΚΟΥ 6  ΕΓΚΩΜΗ 2409 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1650486, _2=33.3210953)",35.1650486,33.3210953
34,VIVLIOPOLION KE HARTOPOLEON O ASTIR.,495,B,Εμπορική Επωνυμία,Εγγεγραμμένη,21236,21236,ΑΙΣΧΥΛΟΥ 91  1011 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1732515, _2=33.3639569)",35.1732515,33.3639569
35,BOYADJIAN BROS.,499,P,Συνεταιρισμός,Εγγεγραμμένη,20767,20767, ΛΑΡΝΑΚΑ ,"Row(_1=34.9182222, _2=33.6200625)",34.9182222,33.6200625
36,G. LEONTIOS & CO.,501,B,Εμπορική Επωνυμία,Εγγεγραμμένη,14551,14551, ΛΥΘΡΟΔΟΝΤΑΣ 2565 ΛΕΥΚΩΣΙΑ ,"Row(_1=34.9506716, _2=33.2950563)",34.9506716,33.2950563
37,ABB STAL,504,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,402,402,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
38,C. G. CHRISTOFIDES AND SON LIMITED,513,C,Εταιρεία,Εγγεγραμμένη,8136,8136,ΒΥΡΩΝΟΣ 18  1510 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1855659, _2=33.38227639999999)",35.1855659,33.38227639999999
39,AMCA INTERNATIONAL CONSTRUCTION CORPORATION,530,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,13612,13612,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 19  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1659951, _2=33.3580232)",35.1659951,33.3580232
40,SALFITI SECURITIES N.V.,543,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,18524,18524,ΟΛΥΜΠΙΩΝ 23  3035 ΛΕΜΕΣΟΣ ,"Row(_1=34.6826866, _2=33.054022)",34.6826866,33.054022
